Starting Grid,Final position prediction
1,3.2715941851027517
2,3.9349322254254355
3,4.598270265748119
4,5.261608306070803
5,5.924946346393487
6,6.58828438671617
7,7.251622427038854
8,7.914960467361538
9,8.57829850768422
10,9.241636548006905
11,9.904974588329589
12,10.568312628652272
13,11.231650668974956
14,11.89498870929764
15,12.558326749620324
16,13.221664789943008
17,13.885002830265691
